1,"Al-Hikma Polytechnic Karu
1st Close, Off Tafawa Balewa Street,
Before Al-Hikma International Acadeny
P.O. Box 453 Mararaba Gurku, Karu,
Nasarawa State",,,2016
2,"Allover Central Polytechnic, Sango Ota,
Plot 3A & B Abiodun Popoola Street,
Sango Ota, Ogun State.
allovercentralpoly@yahoo.com",,,1998/2003♦
3,"Ajayi Polytechnic
Ikere Ekiti,
Ekiti State",,,2017
4,"Ashi Polytechnic
Anyiin, Logo Local Government
P.M.B 102098
Benue State
08020532524, 07054987111
ashitechnigltd2007@gmail.com",,,2018
5,"Best Solution Polytechnic, Akure
KM 8 Akure - Ondo Road
P.O. Box 518
Akure
Ondo State
bestsolutionn@yahoo.com",,,2016
6,"Bellarks Polytechnic
Temporary Site:
KM 4, Kwale – Asaba Expressway, beside Lococoon Hotels, Kwale Delta State
P.M.B. 003 Kwale Delta State
08106703725, 08134053736
bellarkspolytechnic@gmail.com
bellarkspolytechnic@yahoo.com",,,2021
7,"Brainfill Polytechnic,
by Mickon Filling Station Off Aba  Road
Ikot Ekpene, Akwa Ibom State",,,2022
8,"British Transatlantic Polytechnic
KM 5, Akure-Ado Expressway
Igoba, Akure
Ondo State",,,2022
9,"Bolmor Polytechnic, GPO Box 11221 Dugbe, Ibadan, Oyo State. bolmorpolytechnic@yahoo.com",,,2015
10,"Calvary Polytechnic, Owa-Oyibu
Delta State",,,2016
11,"Citi Polytechnic
Plot 182, Hillside Extension
Dutse-Dawaki Road
Dutse Alhaji
FCT Abuja
08062095916
08065518944
08166934660
citipolytechnic2@gmail.com",,,2018
12,"Coastal Polytechnic Apapa
P.O.Box 4335
Apapa Lagos",,,2020
13,"Covenant Polytechnic, Aba,
P.M.B. 7065, Aba/Owerri Road, Abayi, Aba
Abia State.",,,2010
14,"Crown Polytechnic, Ado-Ekiti
P.M.B. 5424, Km 10, Ilawe Road, Odo,
Ekiti State",,,2008
15,"Distinct Polytechnic Ekosin
KM 1, Agbeye Road
Odo Otin LGA
Osun State",,,2022
16,"Dorben Polytechnic, Abuja,
P. O. Box 6322 Garki, Bwari, Abuja.
abupoly@yahoo.ca",,,1995/2008♦
17,"Eastern Polytechnic
80c. Igwuruta Road (Tank), Rumuokwurusi, P.O. Box 12667 Port Harcourt, Rivers State. www.acmgt.org
info@acmggt.org",,,2015
18,"Enville Polytechnic Ikeja
Take Off Site:
4, Osho Street, Off Opebi/Oregun Link Road
P.M.B 8638
Ikeja, Lagos
Permanent Site
Owu-Iganke
Off Itokin Road, Epe LGA
Lagos State
www.envilleinstitute.edu.ng
info@envilleinstitute.edu.ng
08033151233, 07069772199",,,2019
19,"Fidei Polytechnic, Gboko
P.M.B. 185, Km 8 Gboko-Aliade Road, Benue State.",,,2007
20,"Foundation Polytechnic, Ikot Idem
P.O. Box 1166, Ikot Ekpene
Akwa Ibom State
0802 742 4802, 0706 809 2448
info@foundationpoly.edu.ng
foundationpoly@gmail.com
www.foundationpoly.edu.ng",,,2022
21,"Gboko Polytechnic, Gboko,
PMB 131, Gboko
Benue State",,,2016
22,"Global Polytechnic, Akure,
Ondo State",,,2016
23,"Gloryland Polytechnic, Ankpa
Kilometer 6 Ankpa-Anyigba Road
P.M.B 1010
Ankpa, Kogi State",,,2022
24,"Grace Polytechnic, Surulere,
P.O. Box 9067, Lagos State.
gracepoly@yahoo.com",,,1962/1999♦
25,"Graceland Polytechnic, Offa
Oyeleke College Road
Off Irra Road
P.O.Box 4441
Offa, Kwara State
08054293939, 08038102114",,,2018
26,"Grundtvig Polytechnic
KM 11 Onitsha-Owerri Expressway
Oba Anambra State
info@grundtvigpolytechnic.com
www.grundtvigpolytechnic.com
+2348032726198",,,2019
27,"Harry Pass Polytechnic
Tse Usen Mkar Gboko
Benue State
07030694480",,,2020
28,"Harvard Polytechnic
No. 15, Onireke Road Agbabiaka
Ilorin – Kwara State",,,2022
29,"Heritage Polytechnic, Ikot Udota, Eket,
Akwa Ibom State",,,2010
30,"Hope Polytechnic
Ndon Utibe, Ediene Atai
Ikono LGA
Akwa Ibom State",,,2022
31,"Ibadan City Polytechnic,
Alakia-Isebo/Iyana Church Road
PMB 10426, Ibadan
Oyo State
www.icp.edu.ng
0708 459 3012",,,2015
32,"Ibom Metropolitan Polytechnic, Uyo
Akwa Ibom State",,,2021
33,"I-CON Universal Polytechnic Osogbo
Osun State",,,2021
34,"Igbajo Polytechnic, Igbajo
P.M.B. 303, Osun State.",,,2009
35,"Ihechukwu Madubuike Institute of Technology
Isuochi, Abia State",,,2021
36,"Inspire Polytechnic
39/41, Karimulaka Street
Egbeda, Lagos
Lagos State
Tel. 07059899996, 07059899998",,,2022
37,"Iwo City Polytechnic, Iwo
Osun State",,,2021
38,"Kalac Christal Polytechnic,
1A, Sikiru Adewale Street, Opposite Shoprite, Sangotedo, Lekki, Lagos State.
08033062214, 08036887077
info@kcpoly.edu.ng; www.kcpoly.ng",,,2014
39,"Kanmi Alo Interlink Polytechnic, Ijebu-Jesa,
Km 1, Ado-Ekiti Road
P.M.B. 5060, Ijebu-Jesa, Osun State",,,2008
40,"Kings Polytechnic, Ubiaja,
Edo State",,,2010
41,"Landmark Polytechnic
Ayetoro/Itele Via Ayobo
Ado Odo Ota LGA
Ogun State
08033732121
08054475307
landmarkpoly@gmail.com
www.landmarkpolytechnic.com.ng",,,2018
42,"Lagos City Polytechnic, Ikeja,
P.M.B. 21200, Ikeja, Lagos State.
info@lagoscitypolytechnic.net",,,1990/1995♦
43,"Lens Polytechnic
Kilometer 2 Irra Road
Beside Naval Base
Offa, Kwara State",,,2016
44,"Lighthouse Polytechnic,
Sunshine Hills Evbuobanosa
Km 3, Asaba Road,
P.M.B. 1724, Benin City, Edo State",,,2008
45,"Marist Polytechnic, Umuchigbo, Iji-Nike,
Emene
Enugu State",,,2016
46,"Mater Dei Polytechnic
Ugwuoba Town
Oji River LGA
Enugu State",,,2018
47,"Nacabs Polytechnic, Akwanga
P.M.B. 001 Akwanga, Nasarawa State",,,2013
48,"New Land Polytechnic, Idofian, Kwara State",,,2022
49,"Nogak Polytechnic, Ikom,
Cross Rivers State",,,2012
50,"Novelty Polytechnic Kishi
KM 3 Ilorin Road
P.M.B 03 Kishi
Oyo State
www.noveltypolytechnic.edu.ng
noveltypolytechnic2016@gmail.com
07066029500
08140685721",,,2019
51,"Oduduwa Polytechnic, Idumu, Lagos
Lagos State",,,2021
